id|name|parent|
18201|Syslog Session Opened|Application|
18202|Syslog Session Closed|Application|
18203|Syslog Session Denied|Application|
18204|Syslog Session In Progress|Application|
18205|SSL Session Opened|Application|
18206|SSL Session Closed|Application|
18207|SSL Session Reset|Application|
18208|SSL Session Terminated|Application|
18209|SSL Session Denied|Application|
18210|SSL Session In Progress|Application|
18211|SNMP Session Opened|Application|
18212|SNMP Session Closed|Application|
18213|SNMP Session Denied|Application|
18214|SNMP Session In Progress|Application|
18215|SMB Session Opened|Application|
18216|SMB Session Closed|Application|
18217|SMB Session Reset|Application|
18218|SMB Session Terminated|Application|
18219|SMB Session Denied|Application|
18220|SMB Session In Progress|Application|
18221|Streaming Media Session Opened|Application|
18222|Streaming Media Session Closed|Application|
18223|Streaming Media Session Reset|Application|
18224|Streaming Media Session Terminated|Application|
18225|Streaming Media Session Denied|Application|
18226|Streaming Media Session In Progress|Application|
18227|RUSERS Session Opened|Application|
18228|RUSERS Session Closed|Application|
18229|RUSERS Session Denied|Application|
18230|RUSERS Session In Progress|Application|
18231|RSH Session Opened|Application|
18232|RSH Session Closed|Application|
18233|RSH Session Reset|Application|
18234|RSH Session Terminated|Application|
18235|RSH Session Denied|Application|
18236|RSH Session In Progress|Application|
18237|RLOGIN Session Opened|Application|
18238|RLOGIN Session Closed|Application|
18239|RLOGIN Session Reset|Application|
18240|RLOGIN Session Terminated|Application|
18241|RLOGIN Session Denied|Application|
18242|RLOGIN Session In Progress|Application|
18243|REXEC Session Opened|Application|
18244|REXEC Session Closed|Application|
18245|REXEC Session Reset|Application|
18246|REXEC Session Terminated|Application|
18247|REXEC Session Denied|Application|
18248|REXEC Session In Progress|Application|
18249|RPC Session Opened|Application|
18250|RPC Session Closed|Application|
18251|RPC Session Reset|Application|
18252|RPC Session Terminated|Application|
18253|RPC Session Denied|Application|
18254|RPC Session In Progress|Application|
18255|NTP Session Opened|Application|
18256|NTP Session Closed|Application|
18257|NTP Session Reset|Application|
18258|NTP Session Terminated|Application|
18259|NTP Session Denied|Application|
18260|NTP Session In Progress|Application|
18261|NNTP Session Opened|Application|
18262|NNTP Session Closed|Application|
18263|NNTP Session Reset|Application|
18264|NNTP Session Terminated|Application|
18265|NNTP Session Denied|Application|
18266|NNTP Session In Progress|Application|
18267|NFS Session Opened|Application|
18268|NFS Session Closed|Application|
18269|NFS Session Reset|Application|
18270|NFS Session Terminated|Application|
18271|NFS Session Denied|Application|
18272|NFS Session In Progress|Application|
18273|NCP Session Opened|Application|
18274|NCP Session Closed|Application|
18275|NCP Session Reset|Application|
18276|NCP Session Terminated|Application|
18277|NCP Session Denied|Application|
18278|NCP Session In Progress|Application|
18279|NetBIOS Session Opened|Application|
18280|NetBIOS Session Closed|Application|
18281|NetBIOS Session Reset|Application|
18282|NetBIOS Session Terminated|Application|
18283|NetBIOS Session Denied|Application|
18284|NetBIOS Session In Progress|Application|
18285|MODBUS Session Opened|Application|
18286|MODBUS Session Closed|Application|
18287|MODBUS Session Reset|Application|
18288|MODBUS Session Terminated|Application|
18289|MODBUS Session Denied|Application|
18290|MODBUS Session In Progress|Application|
18291|LPD Session Opened|Application|
18292|LPD Session Closed|Application|
18293|LPD Session Reset|Application|
18294|LPD Session Terminated|Application|
18295|LPD Session Denied|Application|
18296|LPD Session In Progress|Application|
18297|Lotus Notes Session Opened|Application|
18298|Lotus Notes Session Closed|Application|
18299|Lotus Notes Session Reset|Application|
18300|Lotus Notes Session Terminated|Application|
18301|Lotus Notes Session Denied|Application|
18302|Lotus Notes Session In Progress|Application|
18303|Kerberos Session Opened|Application|
18304|Kerberos Session Closed|Application|
18305|Kerberos Session Reset|Application|
18306|Kerberos Session Terminated|Application|
18307|Kerberos Session Denied|Application|
18308|Kerberos Session In Progress|Application|
18309|IRC Session Opened|Application|
18310|IRC Session Closed|Application|
18311|IRC Session Reset|Application|
18312|IRC Session Terminated|Application|
18313|IRC Session Denied|Application|
18314|IRC Session In Progress|Application|
18315|IEC 104 Session Opened|Application|
18316|IEC 104 Session Closed|Application|
18317|IEC 104 Session Reset|Application|
18318|IEC 104 Session Terminated|Application|
18319|IEC 104 Session Denied|Application|
18320|IEC 104 Session In Progress|Application|
18321|Ident Session Opened|Application|
18322|Ident Session Closed|Application|
18323|Ident Session Reset|Application|
18324|Ident Session Terminated|Application|
18325|Ident Session Denied|Application|
18326|Ident Session In Progress|Application|
18327|ICCP Session Opened|Application|
18328|ICCP Session Closed|Application|
18329|ICCP Session Reset|Application|
18330|ICCP Session Terminated|Application|
18331|ICCP Session Denied|Application|
18332|ICCP Session In Progress|Application|
18333|Groupwise Session Opened|Application|
18334|Groupwise Session Closed|Application|
18335|Groupwise Session Reset|Application|
18336|Groupwise Session Terminated|Application|
18337|Groupwise Session Denied|Application|
18338|Groupwise Session In Progress|Application|
18339|Gopher Session Opened|Application|
18340|Gopher Session Closed|Application|
18341|Gopher Session Reset|Application|
18342|Gopher Session Terminated|Application|
18343|Gopher Session Denied|Application|
18344|Gopher Session In Progress|Application|
18345|GIOP Session Opened|Application|
18346|GIOP Session Closed|Application|
18347|GIOP Session Reset|Application|
18348|GIOP Session Terminated|Application|
18349|GIOP Session Denied|Application|
18350|GIOP Session In Progress|Application|
18351|Finger Session Opened|Application|
18352|Finger Session Closed|Application|
18353|Finger Session Reset|Application|
18354|Finger Session Terminated|Application|
18355|Finger Session Denied|Application|
18356|Finger Session In Progress|Application|
18357|Echo Session Opened|Application|
18358|Echo Session Closed|Application|
18359|Echo Session Denied|Application|
18360|Echo Session In Progress|Application|
18361|Remote .NET Session Opened|Application|
18362|Remote .NET Session Closed|Application|
18363|Remote .NET Session Reset|Application|
18364|Remote .NET Session Terminated|Application|
18365|Remote .NET Session Denied|Application|
18366|Remote .NET Session In Progress|Application|
18367|DNP3 Session Opened|Application|
18368|DNP3 Session Closed|Application|
18369|DNP3 Session Reset|Application|
18370|DNP3 Session Terminated|Application|
18371|DNP3 Session Denied|Application|
18372|DNP3 Session In Progress|Application|
18373|Discard Session Opened|Application|
18374|Discard Session Closed|Application|
18375|Discard Session Reset|Application|
18376|Discard Session Terminated|Application|
18377|Discard Session Denied|Application|
18378|Discard Session In Progress|Application|
18379|DHCP Session Opened|Application|
18380|DHCP Session Closed|Application|
18381|DHCP Session Denied|Application|
18382|DHCP Session In Progress|Application|
18383|DHCP Success|Application|
18384|DHCP Failure|Application|
18385|CVS Session Opened|Application|
18386|CVS Session Closed|Application|
18387|CVS Session Reset|Application|
18388|CVS Session Terminated|Application|
18389|CVS Session Denied|Application|
18390|CVS Session In Progress|Application|
18391|CUPS Session Opened|Application|
18392|CUPS Session Closed|Application|
18393|CUPS Session Reset|Application|
18394|CUPS Session Terminated|Application|
18395|CUPS Session Denied|Application|
18396|CUPS Session In Progress|Application|
18397|Chargen Session Started|Application|
18398|Chargen Session Closed|Application|
18399|Chargen Session Reset|Application|
18400|Chargen Session Terminated|Application|
18401|Chargen Session Denied|Application|
18402|Chargen Session In Progress|Application|
18403|Misc VPN|Application|
18404|DAP Session Started|Application|
18405|DAP Session Ended|Application|
18406|DAP Session Denied|Application|
18407|DAP Session Status|Application|
18408|DAP Session In Progress|Application|
18409|DAP Authentication Failed|Application|
18410|DAP Authentication Succeeded|Application|
18411|TOR Session Started|Application|
18412|TOR Session Closed|Application|
18413|TOR Session Reset|Application|
18414|TOR Session Terminated|Application|
18415|TOR Session Denied|Application|
18416|TOR Session In Progress|Application|
18417|Game Session Started|Application|
18418|Game Session Closed|Application|
18419|Game Session Reset|Application|
18420|Game Session Terminated|Application|
18421|Game Session Denied|Application|
18422|Game Session In Progress|Application|
18423|Authentication (Application)|Application|
18424|Chat|Application|
18425|Client Server|Application|
18426|Content Delivery|Application|
18427|Data Transfer|Application|
18428|Data Warehousing|Application|
18429|Directory Services|Application|
18430|File Print|Application|
18431|File Transfer|Application|
18432|Games|Application|
18433|Healthcare|Application|
18434|Inner System|Application|
18435|Internet Protocol|Application|
18436|Legacy|Application|
18437|Mail|Application|
18438|Misc|Application|
18439|Multimedia|Application|
18440|Network Management|Application|
18441|P2P|Application|
18442|Remote Access|Application|
18443|Routing Protocols|Application|
18444|Security Protocol|Application|
18445|Streaming|Application|
18446|Uncommon Protocol|Application|
18447|VoIP|Application|
18448|Web|Application|
18449|ICMP|Application|
19001|General Audit Event|Audit|
19002|Built-in Execution|Audit|
19003|Bulk Copy|Audit|
19004|Data Dump|Audit|
19005|Data Import|Audit|
19006|Data Selection|Audit|
19007|Data Truncation|Audit|
19008|Data Update|Audit|
19009|Procedure/Trigger Execution|Audit|
19010|Schema Change|Audit|
19011|Create Activity Attempted|Audit|
19012|Create Activity Succeeded|Audit|
19013|Create Activity Failed|Audit|
19014|Read Activity Attempted|Audit|
19015|Read Activity Succeeded|Audit|
19016|Read Activity Failed|Audit|
19017|Update Activity Attempted|Audit|
19018|Update Activity Succeeded|Audit|
19019|Update Activity Failed|Audit|
19020|Delete Activity Attempted|Audit|
19021|Delete Activity Succeeded|Audit|
19022|Delete Activity Failed|Audit|
19023|Backup Activity Attempted|Audit|
19024|Backup Activity Succeeded|Audit|
19025|Backup Activity Failed|Audit|
19026|Capture Activity Attempted|Audit|
19027|Capture Activity Succeeded|Audit|
19028|Capture Activity Failed|Audit|
19029|Configure Activity Attempted|Audit|
19030|Configure Activity Succeeded|Audit|
19031|Configure Activity Failed|Audit|
19032|Deploy Activity Attempted|Audit|
19033|Deploy Activity Succeeded|Audit|
19034|Deploy Activity Failed|Audit|
19035|Disable Activity Attempted|Audit|
19036|Disable Activity Succeeded|Audit|
19037|Disable Activity Failed|Audit|
19038|Enable Activity Attempted|Audit|
19039|Enable Activity Succeeded|Audit|
19040|Enable Activity Failed|Audit|
19041|Monitor Activity Attempted|Audit|
19042|Monitor Activity Succeeded|Audit|
19043|Monitor Activity Failed|Audit|
19044|Restore Activity Attempted|Audit|
19045|Restore Activity Succeeded|Audit|
19046|Restore Activity Failed|Audit|
19047|Start Activity Attempted|Audit|
19048|Start Activity Succeeded|Audit|
19049|Start Activity Failed|Audit|
19050|Stop Activity Attempted|Audit|
19051|Stop Activity Succeeded|Audit|
19052|Stop Activity Failed|Audit|
19053|Undeploy Activity Attempted|Audit|
19054|Undeploy Activity Succeeded|Audit|
19055|Undeploy Activity Failed|Audit|
19056|Receive Activity Attempted|Audit|
19057|Receive Activity Succeeded|Audit|
19058|Receive Activity Failed|Audit|
19059|Send Activity Attempted|Audit|
19060|Send Activity Succeeded|Audit|
19061|Send Activity Failed|Audit|
19062|Enable Logging Attempted|Audit|
19063|Enable Logging Success|Audit|
19064|Enable Logging Failed|Audit|
19065|Disable Logging Attempted|Audit|
19066|Disable Logging Success|Audit|
19067|Disable Logging Failed|Audit|
20001|Policy Exposure|Risk|
20002|Compliance Violation|Risk|
20003|Exposed Vulnerability|Risk|
20004|Remote Access Vulnerability|Risk|
20005|Local Access Vulnerability|Risk|
20006|Open Wireless Access|Risk|
20007|Weak Encryption|Risk|
20008|Un-Encrypted Data Transfer|Risk|
20009|Un-Encrypted Data Store|Risk|
20010|Mis-Configured Rule|Risk|
20011|Mis-Configured Device|Risk|
20012|Mis-Configured Host|Risk|
20013|Data Loss Possible|Risk|
20014|Weak Authentication|Risk|
20015|No Password|Risk|
20016|Fraud|Risk|
20017|Possible DoS Target|Risk|
20018|Possible DoS Weakness|Risk|
20019|Loss of Confidentiality|Risk|
20020|Policy Monitor Risk Score Accumulation|Risk|
21001|Policy Monitor|Risk Manager Audit|
21002|Topology|Risk Manager Audit|
21003|Simulations|Risk Manager Audit|
21004|Administration|Risk Manager Audit|
22001|Device Read|Control System|
22002|Device Communication|Control System|
22003|Device Audit|Control System|
22004|Device Event|Control System|
22005|Device Ping|Control System|
22006|Device Configuration|Control System|
22007|Device Registration|Control System|
22008|Device Route|Control System|
22009|Device Import|Control System|
22010|Device Information|Control System|
22011|Device Warning|Control System|
22012|Device Error|Control System|
22013|Relay Event|Control System|
22014|NIC Event|Control System|
22015|UIQ Event|Control System|
22016|IMU Event|Control System|
22017|Billing Event|Control System|
22018|DBMS Event|Control System|
22019|Import Event|Control System|
22020|Location Import|Control System|
22021|Route Import|Control System|
22022|Export Event|Control System|
22023|Remote Signalling|Control System|
22024|Gateway Status|Control System|
22025|Job Event|Control System|
22026|Security Event|Control System|
22027|Device Tamper Detection|Control System|
22028|Time Event|Control System|
22029|Suspicious Behavior|Control System|
22030|Power Outage|Control System|
22031|Power Restoration|Control System|
22032|Heartbeat|Control System|
22033|Remote Connection Event|Control System|
23001|Asset Created|Asset Profiler|
23002|Asset Updated|Asset Profiler|
23003|Asset Observed|Asset Profiler|
23004|Asset Moved|Asset Profiler|
23005|Asset Deleted|Asset Profiler|
23006|Asset Hostname Cleaned|Asset Profiler|
23007|Asset Hostname Created|Asset Profiler|
23008|Asset Hostname Updated|Asset Profiler|
23009|Asset Hostname Observed|Asset Profiler|
23010|Asset Hostname Moved|Asset Profiler|
23011|Asset Hostname Deleted|Asset Profiler|
23012|Asset Port Cleaned|Asset Profiler|
23013|Asset Port Created|Asset Profiler|
23014|Asset Port Updated|Asset Profiler|
23015|Asset Port Observed|Asset Profiler|
23016|Asset Port Moved|Asset Profiler|
23017|Asset Port Deleted|Asset Profiler|
23018|Asset Vuln Instance Cleaned|Asset Profiler|
23019|Asset Vuln Instance Created|Asset Profiler|
23020|Asset Vuln Instance Updated|Asset Profiler|
23021|Asset Vuln Instance Observed|Asset Profiler|
23022|Asset Vuln Instance Moved|Asset Profiler|
23023|Asset Vuln Instance Deleted|Asset Profiler|
23024|Asset OS Cleaned|Asset Profiler|
23025|Asset OS Created|Asset Profiler|
23026|Asset OS Updated|Asset Profiler|
23027|Asset OS Observed|Asset Profiler|
23028|Asset OS Moved|Asset Profiler|
23029|Asset OS Deleted|Asset Profiler|
23030|Asset Property Cleaned|Asset Profiler|
23031|Asset Property Created|Asset Profiler|
23032|Asset Property Updated|Asset Profiler|
23033|Asset Property Observed|Asset Profiler|
23034|Asset Property Moved|Asset Profiler|
23035|Asset Property Deleted|Asset Profiler|
23036|Asset IP Address Cleaned|Asset Profiler|
23037|Asset IP Address Created|Asset Profiler|
23038|Asset IP Address Updated|Asset Profiler|
23039|Asset IP Address Observed|Asset Profiler|
23040|Asset IP Address Moved|Asset Profiler|
23041|Asset IP Address Deleted|Asset Profiler|
23042|Asset Interface Cleaned|Asset Profiler|
23043|Asset Interface Created|Asset Profiler|
23044|Asset Interface Updated|Asset Profiler|
23045|Asset Interface Observed|Asset Profiler|
23046|Asset Interface Moved|Asset Profiler|
23047|Asset Interface Merged|Asset Profiler|
23048|Asset Interface Deleted|Asset Profiler|
23049|Asset User Cleaned|Asset Profiler|
23050|Asset User Observed|Asset Profiler|
23051|Asset User Moved|Asset Profiler|
23052|Asset User Deleted|Asset Profiler|
23053|Asset Scanned Policy Cleaned|Asset Profiler|
23054|Asset Scanned Policy Observed|Asset Profiler|
23055|Asset Scanned Policy Moved|Asset Profiler|
23056|Asset Scanned Policy Deleted|Asset Profiler|
23057|Asset Windows Application Cleaned|Asset Profiler|
23058|Asset Windows Application Observed|Asset Profiler|
23059|Asset Windows Application Moved|Asset Profiler|
23060|Asset Windows Application Deleted|Asset Profiler|
23061|Asset Scanned Service Cleaned|Asset Profiler|
23062|Asset Scanned Service Observed|Asset Profiler|
23063|Asset Scanned Service Moved|Asset Profiler|
23064|Asset Scanned Service Deleted|Asset Profiler|
23065|Asset Windows Patch Cleaned|Asset Profiler|
23066|Asset Windows Patch Observed|Asset Profiler|
23067|Asset Windows Patch Moved|Asset Profiler|
23068|Asset Windows Patch Deleted|Asset Profiler|
23069|Asset UNIX Patch Cleaned|Asset Profiler|
23070|Asset UNIX Patch Observed|Asset Profiler|
23071|Asset UNIX Patch Moved|Asset Profiler|
23072|Asset UNIX Patch Deleted|Asset Profiler|
23073|Asset Patch Scan Cleaned|Asset Profiler|
23074|Asset Patch Scan Created|Asset Profiler|
23075|Asset Patch Scan Moved|Asset Profiler|
23076|Asset Patch Scan Deleted|Asset Profiler|
23077|Asset Port Scan Cleaned|Asset Profiler|
23078|Asset Port Scan Created|Asset Profiler|
23079|Asset Port Scan Moved|Asset Profiler|
23080|Asset Port Scan Deleted|Asset Profiler|
23081|Asset Client Application Cleaned|Asset Profiler|
23082|Asset Client Application Observed|Asset Profiler|
23083|Asset Client Application Moved|Asset Profiler|
23084|Asset Client Application Deleted|Asset Profiler|
23085|Asset Patch Scan Observed|Asset Profiler|
23086|Asset Port Scan Observed|Asset Profiler|
23087|NetBIOS Group Created|Asset Profiler|
23088|NetBIOS Group Updated|Asset Profiler|
23089|NetBIOS Group Observed|Asset Profiler|
23090|NetBIOS Group Deleted|Asset Profiler|
23091|NetBIOS Group Cleaned|Asset Profiler|
23092|NetBIOS Group Moved|Asset Profiler|
23093|Asset Deviation Report|Asset Profiler|
24001|User Behavior|Sense|
24002|User Geography|Sense|
24003|User Time|Sense|
24004|User Access|Sense|
24005|User Privilege|Sense|
24006|User Risk|Sense|
24007|Sense Offense|Sense|
24008|Resource Risk|Sense|
24009|UBA Machine Learning Anomaly|Sense|




